freq	SmGamma1
2.91000000000000010E9	5.50249391237637650E-1 / 1.32347031675780900E2
2.91999999999999990E9	5.47736514315385930E-1 / 1.34427216906028480E2
2.93000000000000020E9	5.44444401457259360E-1 / 1.34289001001303810E2
2.93999999999999990E9	5.41410411122454780E-1 / 1.34379188269494530E2
2.95000000000000020E9	5.38898217513811420E-1 / 1.35065712634139490E2
2.96000000000000000E9	5.37110440765099730E-1 / 1.35813788554793890E2
2.96999999999999980E9	5.36529533628553070E-1 / 1.36661633764630610E2
2.98000000000000000E9	5.35731185009149420E-1 / 1.36665784392617030E2
2.98999999999999980E9	5.34842677448122840E-1 / 1.35823030652292380E2
3.00000000000000000E9	5.35065619510539750E-1 / 1.37186044326129730E2


